id,summary,topicID,topicName
26871,"The move comes over allegations that it is transporting migrants from Iraq in order to push them across the country's border into the bloc.
Several ministers want to stop EU-registered companies leasing aircraft to Belavia.
The humanitarian situation on the EU's border with Belarus continues to worsen, with seven migrants known to have died.",14,Travel
26871,"The move comes over allegations that it is transporting migrants from Iraq in order to push them across the country's border into the bloc.
Several ministers want to stop EU-registered companies leasing aircraft to Belavia.
The humanitarian situation on the EU's border with Belarus continues to worsen, with seven migrants known to have died.",26,Human Rights
26870,"PM Morawiecki warned that overreach by some of the EU institutions is a threat to the future of the bloc.
European Commission is preparing legal action against Poland after its top court ruled that some European laws are incompatible with the country's constitution.
Poland is to de-escalate the situation through talks at the European leader’s summit.",8,Europe
26869,"Health Minister Jens Spahn has said that special rules relating to the coronavirus pandemic could end on November 25.
“So we are moving from a state of emergency to a state of special caution,"" Spahn said.
But many indoor rules requiring proof of negative tests, vaccination and other hygiene measures would need to remain in place.",20,Local News
26868,"The neoliberal FDP has agreed to start formal coalition talks with the center-left SPD and the Greens.
With all parties on board, they are a step closer to forming next government.
SPD emerged as the strongest party in the Sep election with about a quarter of the votes, but it needed the support of at least one other party to form a coalition govt.",20,Local News
26867,"The termination of Washington State University’s head football coach Rolovich came as a state Covid-19 vaccine mandate was set to go into effect.
The mandate requires health care workers, public employees and others to get inoculated.
The university said its priority is the health and well-being of the young men on the team.",10,North America
26867,"The termination of Washington State University’s head football coach Rolovich came as a state Covid-19 vaccine mandate was set to go into effect.
The mandate requires health care workers, public employees and others to get inoculated.
The university said its priority is the health and well-being of the young men on the team.",2,Sports
26867,"The termination of Washington State University’s head football coach Rolovich came as a state Covid-19 vaccine mandate was set to go into effect.
The mandate requires health care workers, public employees and others to get inoculated.
The university said its priority is the health and well-being of the young men on the team.",7,Global health
26864,"Apple is expected to announce the first update to its MacBook Pro laptop line in three years and next-gen AirPods.
The MacBook Pro will come in 14 and 16-inch editions and the M1 Pro and M1 Max chips will come with other new features.
The new MacBook Pro features a stunning Liquid Retina XDR display, a wide range of ports for advanced connectivity.",5,Business
26864,"Apple is expected to announce the first update to its MacBook Pro laptop line in three years and next-gen AirPods.
The MacBook Pro will come in 14 and 16-inch editions and the M1 Pro and M1 Max chips will come with other new features.
The new MacBook Pro features a stunning Liquid Retina XDR display, a wide range of ports for advanced connectivity.",13,Technology
26863,"The number of cases rise to reach the highest level since July; nearing 50,000 cases of the coronavirus, there were only 16 days in the whole pandemic when cases were higher.
Downing Street has warned of “challenging” months ahead.
The UK has very high rates of infection and higher rates of hospitalisation and death than many European countries.",20,Local News
26863,"The number of cases rise to reach the highest level since July; nearing 50,000 cases of the coronavirus, there were only 16 days in the whole pandemic when cases were higher.
Downing Street has warned of “challenging” months ahead.
The UK has very high rates of infection and higher rates of hospitalisation and death than many European countries.",7,Global health
26861,"To many, cover letters feel as outdated as a faxed CV, but experts argue there’s never been a more important time to include a solid cover letter with your application. 
Writing a decent, detailed letter is indicative that you’ll put some work in to secure the role.
With a cover letter, you can also explain any gaps within your application.",5,Business
26861,"To many, cover letters feel as outdated as a faxed CV, but experts argue there’s never been a more important time to include a solid cover letter with your application. 
Writing a decent, detailed letter is indicative that you’ll put some work in to secure the role.
With a cover letter, you can also explain any gaps within your application.",7,Global health
26861,"To many, cover letters feel as outdated as a faxed CV, but experts argue there’s never been a more important time to include a solid cover letter with your application. 
Writing a decent, detailed letter is indicative that you’ll put some work in to secure the role.
With a cover letter, you can also explain any gaps within your application.",33,Human Stories
26859,"Job vacancies in the U.K. rose to a record high of nearly 1.2 million, official figures. Shortages of workers spread out throughout the entire U.K. economy.
The government's Job Retention Scheme has been successful in limiting job losses. The economy will have recovered from the pandemic by next year.
Estimates say the shortfall is of 900,000.",20,Local News
26859,"Job vacancies in the U.K. rose to a record high of nearly 1.2 million, official figures. Shortages of workers spread out throughout the entire U.K. economy.
The government's Job Retention Scheme has been successful in limiting job losses. The economy will have recovered from the pandemic by next year.
Estimates say the shortfall is of 900,000.",5,Business
26858,"Debbie Vickers is one of tens of thousands of care home staff likely to lose jobs because of vaccine rules.
NHS reveals the decision to make full Covid-19 vaccination a “condition of deployment” is on course.
As of October 10, 1 in five staff in older adult care homes were still not fully vaccinated in Birmingham, Manchester, Stoke and Hackney.",7,Global health
26858,"Debbie Vickers is one of tens of thousands of care home staff likely to lose jobs because of vaccine rules.
NHS reveals the decision to make full Covid-19 vaccination a “condition of deployment” is on course.
As of October 10, 1 in five staff in older adult care homes were still not fully vaccinated in Birmingham, Manchester, Stoke and Hackney.",20,Local News
26857,"Italian police arrested 2,500 migrants for smuggling or aiding illegal immigration since 2013, often using anti-mafia laws to bring charges.
Rights groups say a decades-long policy of criminalising asylum seekers is filling prisons with innocent men.
Since 2013, 24 people were sentenced to more than 10 yrs, while six have been given life sentences.",26,Human Rights
26857,"Italian police arrested 2,500 migrants for smuggling or aiding illegal immigration since 2013, often using anti-mafia laws to bring charges.
Rights groups say a decades-long policy of criminalising asylum seekers is filling prisons with innocent men.
Since 2013, 24 people were sentenced to more than 10 yrs, while six have been given life sentences.",8,Europe
26856,"Spain's Prime Minister Pedro Sánchez pledged to criminalise prostitution in the country as the practice ""enslaves"" women.
Prostitution was decriminalised in Spain in 1995 and in 2016 the UN estimated the country's sex industry was worth €3.7bn.
The Spanish police estimate that over 80% of those working as prostitutes are victims of mafias.",8,Europe
26856,"Spain's Prime Minister Pedro Sánchez pledged to criminalise prostitution in the country as the practice ""enslaves"" women.
Prostitution was decriminalised in Spain in 1995 and in 2016 the UN estimated the country's sex industry was worth €3.7bn.
The Spanish police estimate that over 80% of those working as prostitutes are victims of mafias.",15,Gender Equality
26855,"Facebook is planning to hire 10,000 people in the EU to develop the metaverse.
The new jobs being created over the next five years will include ""highly specialized engineers"". Facebook has made building the metaverse one of its big priorities.
A metaverse is an online world where people can game, work and communicate in a virtual environment.",13,Technology
26855,"Facebook is planning to hire 10,000 people in the EU to develop the metaverse.
The new jobs being created over the next five years will include ""highly specialized engineers"". Facebook has made building the metaverse one of its big priorities.
A metaverse is an online world where people can game, work and communicate in a virtual environment.",20,Local News
26855,"Facebook is planning to hire 10,000 people in the EU to develop the metaverse.
The new jobs being created over the next five years will include ""highly specialized engineers"". Facebook has made building the metaverse one of its big priorities.
A metaverse is an online world where people can game, work and communicate in a virtual environment.",5,Business
26854,"Counter-terrorism police in the United Kingdom have formally declared the fatal stabbing of British lawmaker David Amess an act of terrorism.
They believe the suspect acted alone and they are ""not seeking anyone else in connection with the incident.""
The early investigation has revealed a potential motivation linked to Islamist extremism.",3,Politics
26854,"Counter-terrorism police in the United Kingdom have formally declared the fatal stabbing of British lawmaker David Amess an act of terrorism.
They believe the suspect acted alone and they are ""not seeking anyone else in connection with the incident.""
The early investigation has revealed a potential motivation linked to Islamist extremism.",20,Local News
26853,"Two people from Costa Rice who grow coral are among the winners of the first ever Earthshot Prizes.
The annual awards were created by the Duke of Cambridge to reward people trying to save the planet.
There were five winners announced in London, each receiving £1m; Prince William was joined by other stars for the ceremony at Alexandra Palace.",21,Happy news
26853,"Two people from Costa Rice who grow coral are among the winners of the first ever Earthshot Prizes.
The annual awards were created by the Duke of Cambridge to reward people trying to save the planet.
There were five winners announced in London, each receiving £1m; Prince William was joined by other stars for the ceremony at Alexandra Palace.",33,Human Stories
26852,"Ford Mobility and Vivacity Labs are using sensors in cars and on lampposts to track dangerous traffic spots with the aim of making roads safer.
Those part of the project have their speed, acceleration, rate and harshness of breaking, steering measured to see how they react along a route.
This also predicts near misses with other vehicles or people.",21,Happy news
26852,"Ford Mobility and Vivacity Labs are using sensors in cars and on lampposts to track dangerous traffic spots with the aim of making roads safer.
Those part of the project have their speed, acceleration, rate and harshness of breaking, steering measured to see how they react along a route.
This also predicts near misses with other vehicles or people.",13,Technology
26851,"The Scottish government's vaccine passport scheme has become enforceable by law from Monday morning.
Nightclubs and large events, like some football matches, will only be able to allow entry to people who can show they have had two doses of a Covid vaccine.
The scheme came into effect on 1 October after MSPs voted to back the proposals.",20,Local News
26850,"Amazon is to offer one-off payments of up to £3,000 in order to attract staff in UK regions where there is high demand for labour.
The online retailer is hiring for 20,000 positions across its UK network during the festive season.
Fears over worker shortages have already prompted other firms to warn of problems in the run-up to Christmas.",21,Happy news
26850,"Amazon is to offer one-off payments of up to £3,000 in order to attract staff in UK regions where there is high demand for labour.
The online retailer is hiring for 20,000 positions across its UK network during the festive season.
Fears over worker shortages have already prompted other firms to warn of problems in the run-up to Christmas.",5,Business
26849,"Afghan girls face the biggest rollback in human rights in recent times as the Taliban have banned girls from secondary schools.
It’s the only country in the world to bar half its population from getting an education.
Women, except for those in the public health sector, have not been allowed to return to work yet.",9,Asia
26849,"Afghan girls face the biggest rollback in human rights in recent times as the Taliban have banned girls from secondary schools.
It’s the only country in the world to bar half its population from getting an education.
Women, except for those in the public health sector, have not been allowed to return to work yet.",15,Gender Equality
26849,"Afghan girls face the biggest rollback in human rights in recent times as the Taliban have banned girls from secondary schools.
It’s the only country in the world to bar half its population from getting an education.
Women, except for those in the public health sector, have not been allowed to return to work yet.",26,Human Rights
26848,"A man has pleaded guilty to a charge relating to the flight in which footballer Emiliano Sala died.
David Henderson admitted attempting to discharge a passenger without valid permission or authorisation.
The plane carrying 28-year-old Sala and pilot David Ibbotson crashed into the English Channel in January 2019.",20,Local News
26847,"In addition to Iran and Russia, the meeting will be attended by China, Pakistan, Tajikistan, Uzbekistan and Turkmenistan.
The six countries will be focused on how they can help form an inclusive government in Afghanistan with the presence of all ethnic groups.
Iran's official position is that it wants an inclusive govt and stability in Afghanistan.",15,Gender Equality
26847,"In addition to Iran and Russia, the meeting will be attended by China, Pakistan, Tajikistan, Uzbekistan and Turkmenistan.
The six countries will be focused on how they can help form an inclusive government in Afghanistan with the presence of all ethnic groups.
Iran's official position is that it wants an inclusive govt and stability in Afghanistan.",26,Human Rights
26847,"In addition to Iran and Russia, the meeting will be attended by China, Pakistan, Tajikistan, Uzbekistan and Turkmenistan.
The six countries will be focused on how they can help form an inclusive government in Afghanistan with the presence of all ethnic groups.
Iran's official position is that it wants an inclusive govt and stability in Afghanistan.",3,Politics
26846,"Ford will invest £230m in its Halewood plant on Merseyside to make electric car parts, helping safeguard 500 jobs.
The investment will mean the plant will run for many years longer, said Stuart Rowley, president, Ford of Europe.
There had been speculation about the future of the Halewood factory complex as Ford moves towards electrifying vehicles.",21,Happy news
26846,"Ford will invest £230m in its Halewood plant on Merseyside to make electric car parts, helping safeguard 500 jobs.
The investment will mean the plant will run for many years longer, said Stuart Rowley, president, Ford of Europe.
There had been speculation about the future of the Halewood factory complex as Ford moves towards electrifying vehicles.",20,Local News
